female , group D , some high school , standard , completed , 61 , 74 , 72
male , group B , some high school , standard , completed , 65 , 66 , 62
male , group B , some high school , standard , completed , 51 , 54 , 41
male , group A , some high school , standard , completed , 62 , 67 , 69
female , group D , some high school , standard , completed , 97 , 100 , 100
male , group D , some high school , standard , completed , 62 , 66 , 68
male , group D , some high school , standard , completed , 74 , 71 , 78
male , group B , some high school , standard , completed , 84 , 83 , 75
male , group B , some high school , standard , completed , 61 , 56 , 56
female , group D , some high school , standard , completed , 64 , 60 , 74
male , group A , some high school , standard , completed , 47 , 49 , 49
female , group B , some high school , standard , completed , 60 , 70 , 70
male , group E , some high school , standard , completed , 77 , 76 , 77
male , group C , some high school , standard , completed , 63 , 60 , 57
male , group A , some high school , standard , completed , 46 , 41 , 43
male , group D , some high school , standard , completed , 76 , 70 , 69
male , group B , some high school , standard , completed , 85 , 84 , 78
male , group B , some high school , standard , completed , 63 , 67 , 67
male , group D , some high school , standard , completed , 89 , 88 , 82
male , group B , some high school , standard , completed , 64 , 53 , 57
female , group B , some high school , standard , completed , 54 , 61 , 62
female , group D , some high school , standard , completed , 66 , 78 , 78
female , group D , some high school , standard , completed , 80 , 92 , 88
female , group B , some high school , free/reduced , completed , 59 , 63 , 64
female , group B , some high school , standard , completed , 60 , 70 , 74
female , group B , some high school , free/reduced , completed , 74 , 90 , 88
male , group E , some high school , standard , completed , 68 , 51 , 57
male , group D , some high school , standard , completed , 71 , 69 , 68
male , group D , some high school , standard , completed , 78 , 81 , 86
female , group B , some high school , free/reduced , completed , 52 , 67 , 72
female , group B , some high school , standard , completed , 32 , 51 , 44
male , group E , some high school , standard , completed , 89 , 84 , 77
male , group C , some high school , standard , completed , 67 , 73 , 68
male , group C , some high school , standard , completed , 76 , 80 , 73
male , group E , some high school , standard , completed , 87 , 84 , 76
male , group B , some high school , standard , completed , 94 , 86 , 87
male , group D , some high school , standard , completed , 88 , 74 , 75
female , group B , some high school , free/reduced , completed , 63 , 78 , 79
female , group D , some high school , standard , completed , 65 , 78 , 82
male , group E , some high school , standard , completed , 74 , 64 , 60
male , group D , some high school , standard , completed , 77 , 68 , 69
male , group A , some high school , standard , completed , 66 , 68 , 64
male , group C , some high school , standard , completed , 78 , 72 , 69
male , group B , some high school , standard , completed , 79 , 85 , 86
male , group E , some high school , standard , completed , 81 , 75 , 76
female , group B , some high school , standard , completed , 65 , 82 , 78
