female , group B , bachelor's degree , standard , none , 72 , 72 , 74
female , group C , some college , standard , completed , 69 , 90 , 88
female , group B , associate's degree , standard , none , 71 , 83 , 78
female , group B , some college , standard , completed , 88 , 95 , 92
male , group D , high school , free/reduced , completed , 64 , 64 , 67
female , group B , high school , free/reduced , none , 38 , 60 , 50
female , group B , high school , standard , none , 65 , 81 , 73
female , group C , associate's degree , free/reduced , none , 54 , 58 , 61
female , group B , some college , free/reduced , completed , 65 , 75 , 70
male , group D , bachelor's degree , free/reduced , completed , 74 , 71 , 80
female , group C , bachelor's degree , standard , none , 67 , 69 , 75
female , group D , master's degree , standard , none , 62 , 70 , 75
female , group D , some college , standard , none , 69 , 74 , 74
female , group B , some college , standard , none , 63 , 65 , 61
female , group E , master's degree , free/reduced , none , 56 , 72 , 65
female , group D , associate's degree , standard , none , 74 , 81 , 83
female , group D , associate's degree , free/reduced , completed , 75 , 90 , 88
female , group C , associate's degree , standard , none , 58 , 73 , 68
female , group B , associate's degree , standard , none , 53 , 58 , 65
female , group E , associate's degree , free/reduced , none , 50 , 56 , 54
female , group C , high school , standard , none , 66 , 71 , 76
female , group D , associate's degree , free/reduced , completed , 57 , 74 , 76
female , group C , high school , free/reduced , none , 33 , 41 , 43
female , group C , associate's degree , standard , none , 69 , 80 , 71
female , group C , some college , standard , none , 60 , 72 , 74
female , group C , associate's degree , standard , none , 39 , 64 , 57
female , group D , some college , free/reduced , completed , 58 , 63 , 73
female , group A , associate's degree , free/reduced , none , 41 , 51 , 48
female , group B , associate's degree , standard , none , 47 , 49 , 50
female , group C , some college , standard , none , 73 , 80 , 82
female , group C , some college , free/reduced , none , 76 , 83 , 88
female , group D , associate's degree , standard , none , 71 , 71 , 74
female , group A , some college , standard , none , 58 , 70 , 67
female , group C , bachelor's degree , standard , none , 65 , 72 , 74
female , group B , some college , standard , none , 79 , 86 , 92
female , group D , some college , free/reduced , none , 58 , 67 , 62
female , group D , bachelor's degree , standard , none , 65 , 67 , 62
female , group D , associate's degree , standard , none , 85 , 91 , 89
female , group C , some college , standard , none , 58 , 67 , 72
female , group D , master's degree , standard , none , 87 , 100 , 100
female , group B , associate's degree , free/reduced , none , 52 , 76 , 70
female , group D , associate's degree , free/reduced , completed , 77 , 89 , 98
female , group D , some college , standard , none , 51 , 58 , 54
female , group B , bachelor's degree , free/reduced , none , 75 , 85 , 82
female , group D , bachelor's degree , standard , none , 78 , 82 , 79
female , group C , some college , standard , none , 55 , 69 , 65
female , group C , bachelor's degree , standard , completed , 79 , 92 , 89
female , group C , some college , standard , completed , 88 , 93 , 93
female , group B , high school , standard , none , 87 , 95 , 86
female , group A , bachelor's degree , standard , none , 51 , 49 , 51
female , group C , some college , standard , completed , 75 , 81 , 84
male , group D , bachelor's degree , free/reduced , completed , 74 , 79 , 75
female , group C , associate's degree , standard , none , 59 , 66 , 67
female , group C , some college , free/reduced , none , 59 , 62 , 64
female , group E , some college , free/reduced , completed , 42 , 55 , 54
female , group C , some college , free/reduced , none , 22 , 39 , 33
female , group D , bachelor's degree , standard , completed , 68 , 75 , 81
female , group B , associate's degree , standard , completed , 59 , 70 , 66
female , group C , some college , standard , completed , 70 , 89 , 88
female , group E , high school , free/reduced , completed , 66 , 74 , 78
female , group B , associate's degree , standard , completed , 61 , 86 , 87
female , group E , some college , free/reduced , completed , 75 , 88 , 85
female , group C , bachelor's degree , standard , completed , 96 , 100 , 100
female , group B , master's degree , free/reduced , completed , 58 , 76 , 78
female , group B , high school , standard , completed , 68 , 83 , 78
female , group C , some college , free/reduced , completed , 67 , 75 , 70
female , group D , some college , standard , none , 79 , 86 , 81
female , group C , associate's degree , standard , none , 63 , 67 , 70
female , group C , bachelor's degree , free/reduced , completed , 43 , 51 , 54
female , group C , master's degree , standard , completed , 81 , 91 , 87
female , group B , high school , free/reduced , completed , 46 , 54 , 58
female , group C , associate's degree , standard , completed , 71 , 77 , 77
female , group B , master's degree , free/reduced , completed , 52 , 70 , 62
female , group C , some college , free/reduced , none , 46 , 64 , 66
female , group D , associate's degree , standard , none , 65 , 69 , 70
female , group C , bachelor's degree , standard , none , 77 , 88 , 87
female , group C , master's degree , standard , completed , 69 , 84 , 85
female , group B , some college , free/reduced , none , 45 , 53 , 55
female , group B , bachelor's degree , free/reduced , none , 78 , 79 , 76
female , group C , associate's degree , standard , completed , 67 , 84 , 86
female , group D , some college , free/reduced , none , 65 , 81 , 77
female , group B , associate's degree , standard , none , 57 , 69 , 68
female , group B , some college , free/reduced , none , 74 , 81 , 76
female , group B , some college , free/reduced , none , 58 , 61 , 66
female , group C , high school , free/reduced , none , 42 , 62 , 60
female , group E , associate's degree , free/reduced , completed , 83 , 86 , 88
female , group C , high school , free/reduced , none , 34 , 42 , 39
female , group D , high school , standard , completed , 56 , 68 , 74
female , group B , associate's degree , standard , completed , 52 , 66 , 73
female , group E , master's degree , free/reduced , none , 45 , 56 , 54
female , group C , some college , standard , none , 72 , 72 , 71
female , group C , some college , standard , completed , 88 , 95 , 94
female , group B , bachelor's degree , standard , none , 67 , 86 , 83
male , group D , high school , free/reduced , completed , 73 , 68 , 66
female , group D , high school , standard , none , 56 , 52 , 55
female , group B , high school , standard , completed , 58 , 70 , 68
female , group B , high school , standard , none , 65 , 64 , 62
female , group D , some college , free/reduced , none , 71 , 83 , 83
female , group C , associate's degree , free/reduced , none , 64 , 73 , 68
female , group B , some college , standard , none , 70 , 75 , 78
female , group C , bachelor's degree , standard , none , 63 , 75 , 81
female , group D , high school , standard , none , 69 , 72 , 77
female , group D , associate's degree , standard , completed , 88 , 92 , 95
female , group E , some college , free/reduced , none , 71 , 76 , 70
female , group D , associate's degree , free/reduced , none , 47 , 53 , 58
female , group D , some college , standard , none , 65 , 70 , 71
female , group D , bachelor's degree , free/reduced , none , 73 , 79 , 84
female , group D , some college , free/reduced , completed , 70 , 78 , 78
male , group D , high school , free/reduced , completed , 78 , 77 , 80
female , group C , associate's degree , standard , completed , 67 , 84 , 81
female , group C , associate's degree , standard , completed , 74 , 75 , 83
female , group B , associate's degree , free/reduced , none , 53 , 71 , 67
female , group D , high school , free/reduced , none , 49 , 57 , 52
female , group B , associate's degree , standard , none , 73 , 76 , 80
female , group C , associate's degree , free/reduced , completed , 68 , 67 , 69
female , group C , bachelor's degree , standard , completed , 59 , 64 , 75
female , group D , associate's degree , free/reduced , none , 56 , 65 , 63
female , group C , high school , free/reduced , completed , 67 , 79 , 84
female , group C , some college , standard , none , 71 , 81 , 80
female , group C , high school , free/reduced , none , 41 , 46 , 43
female , group C , some college , standard , none , 82 , 90 , 94
female , group C , bachelor's degree , standard , none , 83 , 93 , 95
female , group B , some college , free/reduced , none , 61 , 68 , 66
female , group C , high school , standard , none , 61 , 73 , 63
female , group B , high school , standard , completed , 69 , 76 , 74
female , group C , high school , standard , none , 72 , 80 , 75
female , group C , bachelor's degree , standard , completed , 77 , 94 , 95
