male , group C , some college , standard , none , 76 , 78 , 75
male , group C , associate's degree , standard , none , 58 , 54 , 52
male , group D , associate's degree , standard , none , 40 , 52 , 43
male , group A , some college , standard , completed , 78 , 72 , 70
male , group C , high school , standard , none , 88 , 89 , 86
male , group D , high school , standard , none , 66 , 69 , 63
male , group D , some college , standard , none , 44 , 54 , 53
male , group B , some college , standard , none , 69 , 54 , 55
male , group C , high school , standard , none , 70 , 70 , 65
male , group D , some college , standard , none , 40 , 42 , 38
male , group E , some college , standard , none , 97 , 87 , 82
male , group E , associate's degree , standard , completed , 81 , 81 , 79
male , group B , associate's degree , standard , none , 65 , 54 , 57
male , group C , high school , standard , completed , 82 , 84 , 82
male , group E , some college , standard , none , 53 , 55 , 48
male , group C , some college , standard , none , 53 , 44 , 42
male , group D , high school , standard , none , 88 , 78 , 75
female , group E , associate's degree , standard , completed , 82 , 85 , 86
male , group D , associate's degree , standard , none , 52 , 55 , 49
male , group D , some college , standard , completed , 58 , 59 , 58
male , group D , some college , standard , completed , 63 , 55 , 63
male , group A , bachelor's degree , standard , completed , 80 , 78 , 81
male , group A , some college , free/reduced , completed , 50 , 47 , 54
male , group E , associate's degree , standard , none , 72 , 64 , 63
male , group C , high school , standard , none , 71 , 79 , 71
female , group E , some college , standard , completed , 63 , 72 , 70
male , group B , some college , standard , none , 79 , 67 , 67
male , group D , bachelor's degree , standard , completed , 68 , 74 , 74
male , group B , high school , standard , completed , 60 , 44 , 47
male , group C , some college , standard , completed , 98 , 86 , 90
male , group E , associate's degree , standard , completed , 66 , 63 , 64
male , group C , high school , standard , none , 62 , 55 , 49
male , group A , associate's degree , standard , none , 54 , 53 , 47
female , group E , bachelor's degree , standard , completed , 99 , 100 , 100
male , group C , high school , standard , none , 84 , 77 , 74
male , group B , associate's degree , standard , completed , 91 , 89 , 92
male , group E , some college , standard , none , 83 , 80 , 73
male , group D , some college , standard , completed , 65 , 77 , 74
male , group D , master's degree , standard , none , 82 , 82 , 74
male , group D , master's degree , standard , none , 89 , 84 , 82
male , group C , bachelor's degree , standard , none , 58 , 55 , 48
male , group E , high school , standard , none , 70 , 55 , 56
male , group D , some college , standard , completed , 71 , 61 , 69
male , group A , high school , standard , none , 57 , 43 , 47
male , group D , some college , standard , none , 88 , 73 , 78
male , group A , bachelor's degree , standard , none , 77 , 67 , 68
male , group D , bachelor's degree , standard , none , 54 , 49 , 47
male , group C , high school , standard , none , 52 , 53 , 49
female , group E , high school , standard , none , 50 , 50 , 47
male , group E , high school , standard , none , 80 , 76 , 65
female , group E , associate's degree , standard , none , 66 , 65 , 69
male , group D , some college , standard , completed , 76 , 83 , 79
male , group D , some college , standard , completed , 77 , 62 , 62
male , group D , associate's degree , standard , none , 61 , 55 , 52
male , group C , associate's degree , standard , none , 69 , 77 , 69
male , group C , some college , standard , none , 59 , 41 , 42
male , group E , bachelor's degree , standard , none , 82 , 62 , 62
male , group E , high school , standard , completed , 81 , 80 , 76
male , group E , high school , standard , completed , 87 , 91 , 81
male , group B , associate's degree , standard , none , 87 , 85 , 73
male , group D , high school , standard , none , 57 , 50 , 54
male , group D , some college , standard , none , 76 , 64 , 66
male , group C , associate's degree , standard , none , 46 , 43 , 42
male , group C , bachelor's degree , standard , completed , 83 , 82 , 84
male , group D , associate's degree , standard , none , 80 , 75 , 77
male , group B , some college , standard , none , 54 , 52 , 51
male , group C , associate's degree , standard , none , 84 , 80 , 80
female , group E , bachelor's degree , standard , none , 80 , 83 , 83
male , group E , some college , standard , none , 59 , 51 , 43
