female , group C , some college , standard , completed , 69 , 90 , 88
female , group B , some college , standard , completed , 88 , 95 , 92
male , group D , high school , free/reduced , completed , 64 , 64 , 67
female , group B , some college , free/reduced , completed , 65 , 75 , 70
male , group D , bachelor's degree , free/reduced , completed , 74 , 71 , 80
female , group D , associate's degree , free/reduced , completed , 75 , 90 , 88
female , group D , associate's degree , free/reduced , completed , 57 , 74 , 76
female , group D , some college , free/reduced , completed , 58 , 63 , 73
female , group D , associate's degree , free/reduced , completed , 77 , 89 , 98
female , group C , bachelor's degree , standard , completed , 79 , 92 , 89
female , group C , some college , standard , completed , 88 , 93 , 93
female , group C , some college , standard , completed , 75 , 81 , 84
male , group D , bachelor's degree , free/reduced , completed , 74 , 79 , 75
female , group E , some college , free/reduced , completed , 42 , 55 , 54
female , group D , bachelor's degree , standard , completed , 68 , 75 , 81
female , group B , associate's degree , standard , completed , 59 , 70 , 66
female , group C , some college , standard , completed , 70 , 89 , 88
female , group E , high school , free/reduced , completed , 66 , 74 , 78
female , group B , associate's degree , standard , completed , 61 , 86 , 87
female , group E , some college , free/reduced , completed , 75 , 88 , 85
female , group C , bachelor's degree , standard , completed , 96 , 100 , 100
female , group B , master's degree , free/reduced , completed , 58 , 76 , 78
female , group B , high school , standard , completed , 68 , 83 , 78
female , group C , some college , free/reduced , completed , 67 , 75 , 70
female , group C , bachelor's degree , free/reduced , completed , 43 , 51 , 54
female , group C , master's degree , standard , completed , 81 , 91 , 87
female , group B , high school , free/reduced , completed , 46 , 54 , 58
female , group C , associate's degree , standard , completed , 71 , 77 , 77
female , group B , master's degree , free/reduced , completed , 52 , 70 , 62
female , group C , master's degree , standard , completed , 69 , 84 , 85
female , group C , associate's degree , standard , completed , 67 , 84 , 86
female , group E , associate's degree , free/reduced , completed , 83 , 86 , 88
female , group D , high school , standard , completed , 56 , 68 , 74
female , group B , associate's degree , standard , completed , 52 , 66 , 73
female , group C , some college , standard , completed , 88 , 95 , 94
male , group D , high school , free/reduced , completed , 73 , 68 , 66
female , group B , high school , standard , completed , 58 , 70 , 68
female , group D , associate's degree , standard , completed , 88 , 92 , 95
female , group D , some college , free/reduced , completed , 70 , 78 , 78
male , group D , high school , free/reduced , completed , 78 , 77 , 80
female , group C , associate's degree , standard , completed , 67 , 84 , 81
female , group C , associate's degree , standard , completed , 74 , 75 , 83
female , group C , associate's degree , free/reduced , completed , 68 , 67 , 69
female , group C , bachelor's degree , standard , completed , 59 , 64 , 75
female , group C , high school , free/reduced , completed , 67 , 79 , 84
female , group B , high school , standard , completed , 69 , 76 , 74
female , group C , bachelor's degree , standard , completed , 77 , 94 , 95
female , group C , some college , standard , completed , 63 , 78 , 80
female , group C , some college , free/reduced , completed , 42 , 66 , 69
female , group C , some college , free/reduced , completed , 45 , 73 , 70
female , group D , some college , standard , completed , 82 , 97 , 96
