male , group D , high school , free/reduced , completed , 64 , 64 , 67
female , group B , some college , free/reduced , completed , 65 , 75 , 70
male , group D , bachelor's degree , free/reduced , completed , 74 , 71 , 80
female , group D , associate's degree , free/reduced , completed , 75 , 90 , 88
female , group D , associate's degree , free/reduced , completed , 57 , 74 , 76
female , group D , some college , free/reduced , completed , 58 , 63 , 73
female , group D , associate's degree , free/reduced , completed , 77 , 89 , 98
male , group D , bachelor's degree , free/reduced , completed , 74 , 79 , 75
female , group E , some college , free/reduced , completed , 42 , 55 , 54
female , group E , high school , free/reduced , completed , 66 , 74 , 78
female , group E , some college , free/reduced , completed , 75 , 88 , 85
female , group B , master's degree , free/reduced , completed , 58 , 76 , 78
female , group B , high school , free/reduced , completed , 46 , 54 , 58
female , group B , master's degree , free/reduced , completed , 52 , 70 , 62
female , group E , associate's degree , free/reduced , completed , 83 , 86 , 88
male , group D , high school , free/reduced , completed , 73 , 68 , 66
female , group D , some college , free/reduced , completed , 70 , 78 , 78
male , group D , high school , free/reduced , completed , 78 , 77 , 80
female , group D , master's degree , free/reduced , completed , 85 , 95 , 100
female , group D , high school , free/reduced , completed , 52 , 57 , 56
female , group D , master's degree , free/reduced , completed , 47 , 58 , 67
female , group D , some college , free/reduced , completed , 59 , 78 , 76
female , group B , master's degree , free/reduced , completed , 77 , 97 , 94
female , group B , high school , free/reduced , completed , 67 , 78 , 79
male , group D , associate's degree , free/reduced , completed , 79 , 82 , 80
female , group D , some college , free/reduced , completed , 63 , 80 , 80
female , group E , bachelor's degree , free/reduced , completed , 92 , 100 , 100
female , group D , master's degree , free/reduced , completed , 61 , 71 , 78
female , group B , some college , free/reduced , completed , 48 , 56 , 58
male , group D , some college , free/reduced , completed , 69 , 60 , 63
female , group B , high school , free/reduced , completed , 67 , 80 , 81
female , group D , associate's degree , free/reduced , completed , 74 , 88 , 90
female , group D , associate's degree , free/reduced , completed , 42 , 61 , 58
female , group B , some college , free/reduced , completed , 53 , 66 , 73
female , group D , some college , free/reduced , completed , 52 , 59 , 65
female , group B , high school , free/reduced , completed , 76 , 85 , 82
female , group E , associate's degree , free/reduced , completed , 57 , 68 , 73
male , group D , bachelor's degree , free/reduced , completed , 61 , 70 , 76
female , group B , high school , free/reduced , completed , 23 , 44 , 36
male , group D , bachelor's degree , free/reduced , completed , 39 , 42 , 38
female , group D , bachelor's degree , free/reduced , completed , 93 , 100 , 100
female , group D , high school , free/reduced , completed , 65 , 61 , 71
male , group D , associate's degree , free/reduced , completed , 61 , 71 , 73
female , group E , high school , free/reduced , completed , 57 , 75 , 73
female , group D , some college , free/reduced , completed , 67 , 86 , 83
