female , group C , some college , standard , completed , 69 , 90 , 88
female , group B , some college , standard , completed , 88 , 95 , 92
female , group C , bachelor's degree , standard , completed , 79 , 92 , 89
female , group C , some college , standard , completed , 88 , 93 , 93
female , group C , some college , standard , completed , 75 , 81 , 84
female , group D , bachelor's degree , standard , completed , 68 , 75 , 81
female , group B , associate's degree , standard , completed , 59 , 70 , 66
female , group C , some college , standard , completed , 70 , 89 , 88
female , group B , associate's degree , standard , completed , 61 , 86 , 87
female , group C , bachelor's degree , standard , completed , 96 , 100 , 100
female , group B , high school , standard , completed , 68 , 83 , 78
female , group C , some college , free/reduced , completed , 67 , 75 , 70
female , group C , bachelor's degree , free/reduced , completed , 43 , 51 , 54
female , group C , master's degree , standard , completed , 81 , 91 , 87
female , group C , associate's degree , standard , completed , 71 , 77 , 77
female , group C , master's degree , standard , completed , 69 , 84 , 85
female , group C , associate's degree , standard , completed , 67 , 84 , 86
female , group D , high school , standard , completed , 56 , 68 , 74
female , group B , associate's degree , standard , completed , 52 , 66 , 73
female , group C , some college , standard , completed , 88 , 95 , 94
female , group B , high school , standard , completed , 58 , 70 , 68
female , group D , associate's degree , standard , completed , 88 , 92 , 95
female , group C , associate's degree , standard , completed , 67 , 84 , 81
female , group C , associate's degree , standard , completed , 74 , 75 , 83
female , group C , associate's degree , free/reduced , completed , 68 , 67 , 69
female , group C , bachelor's degree , standard , completed , 59 , 64 , 75
female , group C , high school , free/reduced , completed , 67 , 79 , 84
female , group B , high school , standard , completed , 69 , 76 , 74
female , group C , bachelor's degree , standard , completed , 77 , 94 , 95
female , group C , some college , standard , completed , 63 , 78 , 80
female , group C , some college , free/reduced , completed , 42 , 66 , 69
female , group C , some college , free/reduced , completed , 45 , 73 , 70
female , group D , some college , standard , completed , 82 , 97 , 96
female , group D , high school , standard , completed , 88 , 99 , 100
female , group C , bachelor's degree , free/reduced , completed , 51 , 72 , 79
female , group C , associate's degree , free/reduced , completed , 82 , 93 , 93
female , group D , high school , standard , completed , 57 , 58 , 64
female , group C , some college , standard , completed , 67 , 81 , 79
female , group C , some college , free/reduced , completed , 64 , 85 , 85
female , group C , associate's degree , standard , completed , 83 , 85 , 90
female , group C , associate's degree , standard , completed , 68 , 86 , 84
female , group B , associate's degree , standard , completed , 90 , 90 , 91
female , group D , bachelor's degree , standard , completed , 71 , 76 , 83
female , group B , associate's degree , standard , completed , 94 , 87 , 92
female , group C , associate's degree , standard , completed , 68 , 67 , 73
female , group C , bachelor's degree , free/reduced , completed , 66 , 83 , 83
female , group C , associate's degree , standard , completed , 55 , 72 , 79
female , group D , some college , standard , completed , 74 , 75 , 79
female , group C , high school , free/reduced , completed , 50 , 66 , 64
female , group D , associate's degree , standard , completed , 73 , 75 , 80
female , group C , bachelor's degree , standard , completed , 92 , 100 , 99
female , group C , bachelor's degree , standard , completed , 56 , 79 , 72
female , group B , bachelor's degree , standard , completed , 66 , 74 , 81
female , group B , bachelor's degree , standard , completed , 65 , 81 , 81
female , group D , some college , standard , completed , 69 , 79 , 81
female , group A , high school , standard , completed , 68 , 80 , 76
female , group D , some college , standard , completed , 85 , 86 , 98
female , group C , some college , free/reduced , completed , 63 , 73 , 71
female , group C , associate's degree , standard , completed , 65 , 84 , 84
female , group D , high school , standard , completed , 69 , 77 , 78
female , group B , some college , standard , completed , 50 , 64 , 66
female , group C , bachelor's degree , free/reduced , completed , 66 , 74 , 81
female , group C , associate's degree , standard , completed , 75 , 82 , 90
female , group D , associate's degree , standard , completed , 57 , 78 , 79
female , group C , associate's degree , standard , completed , 96 , 96 , 99
female , group C , some college , standard , completed , 87 , 89 , 94
female , group C , associate's degree , standard , completed , 59 , 73 , 72
female , group C , high school , standard , completed , 58 , 75 , 77
female , group A , some college , standard , completed , 72 , 79 , 82
female , group C , associate's degree , standard , completed , 52 , 59 , 62
female , group C , master's degree , standard , completed , 54 , 64 , 67
female , group C , associate's degree , free/reduced , completed , 56 , 68 , 70
female , group C , bachelor's degree , free/reduced , completed , 74 , 86 , 89
female , group B , high school , standard , completed , 77 , 82 , 89
female , group C , high school , standard , completed , 60 , 64 , 74
female , group A , high school , standard , completed , 75 , 82 , 79
female , group C , some college , standard , completed , 71 , 71 , 80
female , group C , some college , standard , completed , 70 , 72 , 76
female , group C , associate's degree , standard , completed , 62 , 76 , 80
female , group D , some college , standard , completed , 79 , 84 , 91
female , group C , bachelor's degree , standard , completed , 52 , 61 , 66
female , group C , bachelor's degree , free/reduced , completed , 47 , 62 , 66
female , group C , associate's degree , standard , completed , 57 , 77 , 80
female , group D , some college , standard , completed , 75 , 77 , 83
female , group C , some college , standard , completed , 64 , 82 , 77
female , group A , some college , standard , completed , 78 , 87 , 91
female , group C , high school , free/reduced , completed , 59 , 71 , 65
female , group D , some college , standard , completed , 68 , 78 , 77
